S.No,Comments,Label,Unnamed: 3
HATE_1001,Thappu chesina vaallaku vanike kaadu inka anni modalithavi   Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,hate,#NAME?
HATE_1002,Dhusta chaathuryam  Meeru ilantivi enni chesina em pikalerra,hate,
HATE_1003,Vetakaram super Govt ki siggu seram radu Endukante siggu seram manushulaku mathrme vuntundani na abiprayam,hate,
HATE_1004,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate,
HATE_1005,Katam hogaya narayana pedda bokada college,hate,
HATE_1006,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,non-hate,
HATE_1007,Nenu aite Jabardast show chudadam manesanu TV five ABN channels lo debates vchinaka ,non-hate,
HATE_1008,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate,
HATE_1009,Students tho adukovtam thappu,non-hate,
HATE_1010,Srinivasa gaaru endukee panikamaalina debate Aa sambaki paniledu Meeku jeetam kavaali makenti gola Anni exams happy ga jariginai problem meeu creat cheyyavaddu,hate,
HATE_1011,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate,
HATE_1012,One of the Great Leader A Big Salute Sir,non-hate,
HATE_1013,"Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu
Edhi ee society andhukaa makky HE TEAM kavalli ",hate,
HATE_1014,Paniki malina chana,hate,
HATE_1015,Rosayya garu is a real Good and true politician History lo oka great leader Rosayya garu No words to praise you sir Rip Rosayya garu,non-hate,
HATE_1016,Telangana gujju gulam kadu,hate,
HATE_1017,Disevulera mundamopi,hate,
HATE_1018,Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,hate,
HATE_1019,Down To Earth Man Rosaiah Garu,non-hate,
HATE_1020,Jagan is unstoppable ,non-hate,
HATE_1021,RK eagerly waiting to demoralise Jagan that is his intention,hate,
HATE_1022,Vedi nathinakodaka,hate,
HATE_1023,Vizag News reporter overaction chestunadu,hate,
HATE_1024,Revanth Reddy garu has very clarity in his thoughts excellent way of expressing himself ,non-hate,
HATE_1025,Mahesh smile pure soul,non-hate,
HATE_1026,Kanipinche devudu CBN,non-hate,
HATE_1027,Die hard fan frm Kerala  Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,non-hate,
HATE_1028,AnnaNee lanti vaale kavali  TDPki,non-hate,
HATE_1029,Babulake Baabu Super star Mahesh Baabu ,non-hate,
HATE_1030,Jai Pawan Kalyan Garu Pawan Ji in Andhra and Modi Ji in centre Perfect Combo🇮🇳🇮🇳  I am a big fan of sir from Delhi I wish we had someone like him in Delhi,non-hate,
HATE_1031,Sir ycp ki balle gunapam dimputunavu,hate,
HATE_1032,Harish Rao garu adiginatlu Kaleswaram project pai CBI inquiry veyali,non-hate,
